flavor_score_black_fruit,grape_Malbec,flavor_score_non_oak,flavor_score_citrus_fruit,ratings_count,flavor_score_floral,wine_type,flavor_score_microbio,taste_intensity,grape_Petit Verdot,flavor_score_vegetal,flavor_score_tree_fruit,flavor_score_dried_fruit,wine_style,grape_Cabernet Franc,taste_acidity,taste_fizziness,flavor_score_red_fruit,grape_Zinfandel,flavor_score_tropical_fruit,grape_Shiraz/Syrah,grape_Cabernet Sauvignon,flavor_score_earth,vintage,taste_sweetness,ratings_average,grape_Pinot Noir,wine_name,flavor_score_oak,flavor_score_spices,natural_wine,grape_Merlot,taste_tannin,winery_name
0.10882231769760461,,0.14284032723206402,0.004649520334294627,23104,0.006768289094226355,Pinot Noir,0.03866752986875405,3.125864,,0.008357365664175151,0.006238596904243423,0.016655876640574423,Californian Pinot Noir,,3.4328752,,0.2006356306279795,,0.001706785945500559,,,0.106644694249897,2016,1.7431457,4.1,1,Meiomi Pinot Noir 2016,0.23794950267788828,0.12006356306279795,False,,1.9937906,Meiomi
0.10219498289623717,,0.1961231470923603,0.002494298745724059,20218,0.0047748004561003424,Red (Winemaker's Blend),0.03320980615735462,4.8787274,,0.005915051311288484,0.004489737742303307,0.016177309007981755,Californian Red Blend,,3.865133,,0.11808722919042189,1,0.0018529076396807298,1,1,0.09243158494868871,2013,2.1814685,3.7,,Apothic Red (Winemaker's Blend) 2013,0.27031071835803877,0.15193842645381983,False,1,3.38115,Apothic
0.10882231769760461,,0.14284032723206402,0.004649520334294627,20034,0.006768289094226355,Pinot Noir,0.03866752986875405,3.125864,,0.008357365664175151,0.006238596904243423,0.016655876640574423,Californian Pinot Noir,,3.4328752,,0.2006356306279795,,0.001706785945500559,,,0.106644694249897,2017,1.7431457,4.1,1,Meiomi Pinot Noir 2017,0.23794950267788828,0.12006356306279795,False,,1.9937906,Meiomi
0.10219498289623717,,0.1961231470923603,0.002494298745724059,17162,0.0047748004561003424,Red (Winemaker's Blend),0.03320980615735462,4.8787274,,0.005915051311288484,0.004489737742303307,0.016177309007981755,Californian Red Blend,,3.865133,,0.11808722919042189,1,0.0018529076396807298,1,1,0.09243158494868871,2014,2.1814685,3.7,,Apothic Red (Winemaker's Blend) 2014,0.27031071835803877,0.15193842645381983,False,1,3.38115,Apothic
0.17523229997533096,,0.1461228517391662,0.0024669023928953213,16762,0.006578406381054189,Red Blend,0.026889236082559,4.8780136,,0.006742866540580544,0.002384672313132144,0.027629306800427595,Californian Red Blend,,3.8617663,,0.139544445358112,1,0.000657840638105419,1,1,0.10188306882657676,2015,1.8102701,4.4,,The Prisoner Red Blend 2015,0.23394457692623963,0.12992352602582025,False,1,3.3234847,The Prisoner
0.10219498289623717,,0.1961231470923603,0.002494298745724059,16561,0.0047748004561003424,Red (Winemaker's Blend),0.03320980615735462,4.8787274,,0.005915051311288484,0.004489737742303307,0.016177309007981755,Californian Red Blend,,3.865133,,0.11808722919042189,1,0.0018529076396807298,1,1,0.09243158494868871,2012,2.1814685,3.7,,Apothic Red (Winemaker's Blend) 2012,0.27031071835803877,0.15193842645381983,False,1,3.38115,Apothic
0.10882231769760461,,0.14284032723206402,0.004649520334294627,16449,0.006768289094226355,Pinot Noir,0.03866752986875405,3.125864,,0.008357365664175151,0.006238596904243423,0.016655876640574423,Californian Pinot Noir,,3.4328752,,0.2006356306279795,,0.001706785945500559,,,0.106644694249897,2014,1.7431457,4.1,1,Meiomi Pinot Noir 2014,0.23794950267788828,0.12006356306279795,False,,1.9937906,Meiomi
0.17523229997533096,,0.1461228517391662,0.0024669023928953213,16144,0.006578406381054189,Red Blend,0.026889236082559,4.8780136,,0.006742866540580544,0.002384672313132144,0.027629306800427595,Californian Red Blend,,3.8617663,,0.139544445358112,1,0.000657840638105419,1,1,0.10188306882657676,2016,1.8102701,4.4,,The Prisoner Red Blend 2016,0.23394457692623963,0.12992352602582025,False,1,3.3234847,The Prisoner
0.17480622597517173,,0.15640557060936416,0.00277270149347785,15795,0.0070577856197618,Cabernet Sauvignon,0.030247652656122,4.7960443,,0.00579746675909005,0.0034658768668473124,0.02186653223265486,Napa Valley Cabernet Sauvignon,,3.3302217,,0.10000630159430336,,0.000882223202470225,,1,0.10895456550507278,2014,1.8992704,4.6,,Caymus Cabernet Sauvignon 2014,0.2511815489318798,0.1365555485537841,False,,3.198976,Caymus
0.16773324351633548,,0.16268103738632536,0.0013472549680026945,15690,0.008083529808016167,40th Anniversary Cabernet Sauvignon,0.03334456045806669,4.877671,,0.005052206130010104,0.0023576961940047153,0.028292354328056584,Napa Valley Cabernet Sauvignon,,3.425003,,0.08656113169417312,,0.0003368137420006736,,1,0.08891882788817784,2012,1.8615028,4.5,,Caymus 40th Anniversary Cabernet Sauvignon 2012,0.27147187605254297,0.14381946783428765,False,,3.2272186,Caymus
0.17480622597517173,,0.15640557060936416,0.00277270149347785,14881,0.0070577856197618,Cabernet Sauvignon,0.030247652656122,4.7960443,,0.00579746675909005,0.0034658768668473124,0.02186653223265486,Napa Valley Cabernet Sauvignon,,3.3302217,,0.10000630159430336,,0.000882223202470225,,1,0.10895456550507278,2013,1.8992704,4.6,,Caymus Cabernet Sauvignon 2013,0.2511815489318798,0.1365555485537841,False,,3.198976,Caymus
0.17480622597517173,,0.15640557060936416,0.00277270149347785,14601,0.0070577856197618,Cabernet Sauvignon,0.030247652656122,4.7960443,,0.00579746675909005,0.0034658768668473124,0.02186653223265486,Napa Valley Cabernet Sauvignon,,3.3302217,,0.10000630159430336,,0.000882223202470225,,1,0.10895456550507278,2015,1.8992704,4.6,,Caymus Cabernet Sauvignon 2015,0.2511815489318798,0.1365555485537841,False,,3.198976,Caymus
0.21907798591736416,,0.12169523050352066,0.008635578583765112,14526,0.00438421681944998,Cabernet Sauvignon,0.03241663345290288,4.714389,,0.007971303308090873,0.01062840441078783,0.013551215623754484,Californian Cabernet Sauvignon,,2.9958518,,0.16407599309153714,,0.0017271157167530224,,1,0.08901288694034808,2014,1.6432357,3.8,,Josh Cellars Cabernet Sauvignon 2014,0.2316992161551747,0.09512421947655109,False,,3.2603295,Josh Cellars
0.2370827617741198,,0.13031550068587106,0.003200731595793324,14087,0.010173754000914494,Petite Petit,0.023662551440329218,4.8829265,,0.007315957933241884,0.004686785550983082,0.030978509373571102,Californian Red Blend,,3.8845994,,0.10653863740283494,1,0.0014860539551897576,1,1,0.11534064929126657,2015,1.8135463,4,,Michael David Winery Petite Petit 2015,0.2085048010973937,0.12071330589849108,False,1,3.515543,Michael David Winery
0.10882231769760461,,0.14284032723206402,0.004649520334294627,13777,0.006768289094226355,Pinot Noir,0.03866752986875405,3.125864,,0.008357365664175151,0.006238596904243423,0.016655876640574423,Californian Pinot Noir,,3.4328752,,0.2006356306279795,,0.001706785945500559,,,0.106644694249897,2015,1.7431457,4.1,1,Meiomi Pinot Noir 2015,0.23794950267788828,0.12006356306279795,False,,1.9937906,Meiomi
0.10882231769760461,,0.14284032723206402,0.004649520334294627,13633,0.006768289094226355,Pinot Noir,0.03866752986875405,3.125864,,0.008357365664175151,0.006238596904243423,0.016655876640574423,Californian Pinot Noir,,3.4328752,,0.2006356306279795,,0.001706785945500559,,,0.106644694249897,2013,1.7431457,4.1,1,Meiomi Pinot Noir 2013,0.23794950267788828,0.12006356306279795,False,,1.9937906,Meiomi
0.17480622597517173,,0.15640557060936416,0.00277270149347785,13417,0.0070577856197618,Cabernet Sauvignon,0.030247652656122,4.7960443,,0.00579746675909005,0.0034658768668473124,0.02186653223265486,Napa Valley Cabernet Sauvignon,,3.3302217,,0.10000630159430336,,0.000882223202470225,,1,0.10895456550507278,2016,1.8992704,4.6,,Caymus Cabernet Sauvignon 2016,0.2511815489318798,0.1365555485537841,False,,3.198976,Caymus
